GEO_ID,NAME,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher
01003,"Baldwin County, Alabama",9.9,29.6,30.0,34.7,35.9
01015,"Calhoun County, Alabama",7.6,15.8,25.9,19.8,23.6
01043,"Cullman County, Alabama",1.6,15.9,21.2,17.9,25.4
01049,"DeKalb County, Alabama",6.5,21.6,9.9,13.1,12.1
01051,"Elmore County, Alabama",1.8,26.2,21.0,20.4,23.8
01055,"Etowah County, Alabama",4.3,15.4,22.9,16.2,14.8
01069,"Houston County, Alabama",7.5,22.2,29.2,24.9,21.6
01073,"Jefferson County, Alabama",13.0,44.7,46.0,34.7,29.4
01077,"Lauderdale County, Alabama",6.0,33.6,23.6,23.1,24.2
01081,"Lee County, Alabama",10.7,51.6,48.3,35.6,38.7
01083,"Limestone County, Alabama",11.2,32.9,39.5,37.6,23.9
01089,"Madison County, Alabama",17.1,48.5,48.2,48.1,41.6
01095,"Marshall County, Alabama",2.9,21.6,15.9,20.0,23.1
01097,"Mobile County, Alabama",7.1,26.1,25.1,25.2,25.1
01101,"Montgomery County, Alabama",9.1,32.9,37.9,35.9,39.3
01103,"Morgan County, Alabama",5.5,23.1,30.5,23.7,24.1
01115,"St. Clair County, Alabama",3.4,21.3,32.8,12.9,18.3
01117,"Shelby County, Alabama",16.5,46.2,57.5,55.9,36.1
01121,"Talladega County, Alabama",3.2,11.4,12.8,18.7,21.9
01125,"Tuscaloosa County, Alabama",10.1,34.9,39.7,32.9,29.9
02020,"Anchorage Municipality, Alaska",6.1,37.0,40.2,37.6,37.0
02090,"Fairbanks North Star Borough, Alaska",18.7,31.0,26.0,27.1,29.8
02170,"Matanuska-Susitna Borough, Alaska",2.9,14.6,23.9,23.0,24.6
04001,"Apache County, Arizona",0.9,6.3,17.1,15.9,15.2
04003,"Cochise County, Arizona",8.1,24.0,27.4,29.6,27.8
04005,"Coconino County, Arizona",5.2,43.4,47.2,36.6,45.1
04013,"Maricopa County, Arizona",13.6,37.0,38.4,35.3,34.6
04015,"Mohave County, Arizona",5.1,18.3,17.9,14.9,13.5
04017,"Navajo County, Arizona",4.0,10.2,22.3,19.7,23.6
04019,"Pima County, Arizona",8.9,33.8,37.3,35.8,40.3
04021,"Pinal County, Arizona",6.1,17.5,22.6,22.6,26.9
04025,"Yavapai County, Arizona",5.6,23.6,18.9,27.6,34.3
04027,"Yuma County, Arizona",3.8,14.5,22.8,18.3,13.0
05007,"Benton County, Arkansas",13.1,43.1,51.0,31.2,31.4
05031,"Craighead County, Arkansas",17.8,26.4,28.2,28.1,18.9
05045,"Faulkner County, Arkansas",10.8,30.6,31.8,29.6,26.5
05051,"Garland County, Arkansas",3.5,23.7,33.2,23.6,26.2
05069,"Jefferson County, Arkansas",10.2,20.3,16.5,23.6,23.0
05085,"Lonoke County, Arkansas",1.5,22.4,25.0,21.3,16.4
05119,"Pulaski County, Arkansas",14.5,36.3,42.4,37.5,35.2
05125,"Saline County, Arkansas",6.1,33.4,34.9,24.6,23.4
05131,"Sebastian County, Arkansas",14.7,21.9,21.3,20.6,19.9
05143,"Washington County, Arkansas",11.2,38.8,35.9,33.9,33.2
05145,"White County, Arkansas",6.8,17.9,26.4,21.0,19.1
06001,"Alameda County, California",17.8,58.1,64.4,50.6,42.7
06007,"Butte County, California",7.1,36.6,37.2,34.4,31.5
06013,"Contra Costa County, California",11.9,43.2,50.7,44.3,43.1
06017,"El Dorado County, California",9.0,33.7,49.6,37.0,36.3
06019,"Fresno County, California",8.4,26.8,24.8,21.8,24.4
06023,"Humboldt County, California",5.1,32.7,34.5,30.6,33.6
06025,"Imperial County, California",5.9,22.7,18.9,15.7,9.9
06029,"Kern County, California",6.5,19.6,19.0,18.3,19.7
06031,"Kings County, California",3.7,18.1,17.6,14.5,12.9
06033,"Lake County, California",19.6,19.9,13.3,18.2,20.9
06037,"Los Angeles County, California",14.7,43.2,39.6,31.8,30.7
06039,"Madera County, California",8.2,15.5,23.9,22.0,23.3
06041,"Marin County, California",17.6,46.6,59.7,67.4,64.1
06045,"Mendocino County, California",14.5,13.7,16.4,26.9,31.7
06047,"Merced County, California",5.4,19.0,15.4,15.8,14.6
06053,"Monterey County, California",10.6,26.7,26.6,24.3,33.8
06055,"Napa County, California",5.9,39.2,41.8,39.5,39.7
06057,"Nevada County, California",2.7,36.1,48.1,37.0,38.6
06059,"Orange County, California",15.4,48.9,48.2,41.6,39.2
06061,"Placer County, California",9.8,37.3,50.3,42.5,36.9
06065,"Riverside County, California",8.6,21.9,26.6,24.3,27.4
06067,"Sacramento County, California",11.5,36.8,36.3,31.5,31.9
06069,"San Benito County, California",3.6,36.3,12.7,25.3,35.8
06071,"San Bernardino County, California",8.4,26.2,25.3,20.2,21.8
06073,"San Diego County, California",12.3,46.4,47.7,40.2,39.6
06075,"San Francisco County, California",40.5,81.9,70.5,55.9,38.4
06077,"San Joaquin County, California",7.2,24.2,26.7,21.1,20.9
06079,"San Luis Obispo County, California",7.1,36.8,41.4,40.6,43.9
06081,"San Mateo County, California",20.6,59.1,60.8,54.5,44.4
06083,"Santa Barbara County, California",8.3,37.2,33.7,35.2,42.0
06085,"Santa Clara County, California",21.3,66.7,64.8,53.1,44.5
06087,"Santa Cruz County, California",10.3,44.4,48.0,40.4,42.7
06089,"Shasta County, California",5.3,22.4,27.2,23.5,22.9
06095,"Solano County, California",4.5,25.2,30.6,28.0,30.2
06097,"Sonoma County, California",12.7,34.4,38.8,35.4,43.5
06099,"Stanislaus County, California",4.0,20.6,22.0,16.3,17.9
06101,"Sutter County, California",5.8,15.5,16.4,26.8,23.5
06103,"Tehama County, California",2.1,17.1,13.1,22.2,11.6
06107,"Tulare County, California",4.6,15.1,15.8,15.3,19.3
06111,"Ventura County, California",13.5,39.8,41.1,36.0,37.9
06113,"Yolo County, California",15.9,44.6,43.9,38.4,41.2
06115,"Yuba County, California",5.0,20.9,23.7,17.2,14.7
08001,"Adams County, Colorado",14.7,37.7,32.2,22.6,23.9
08005,"Arapahoe County, Colorado",13.5,46.1,48.5,45.4,46.5
08013,"Boulder County, Colorado",18.3,66.2,68.4,64.8,54.4
08014,"Broomfield County, Colorado",23.8,64.2,55.0,59.9,51.1
08031,"Denver County, Colorado",25.4,69.2,61.5,46.6,45.7
08035,"Douglas County, Colorado",19.2,60.0,67.4,63.7,54.0
08041,"El Paso County, Colorado",14.8,40.0,45.1,43.4,41.3
08059,"Jefferson County, Colorado",15.1,58.2,59.4,49.1,44.3
08069,"Larimer County, Colorado",16.7,52.6,57.7,51.7,51.3
08077,"Mesa County, Colorado",10.6,34.0,36.0,30.6,29.9
08101,"Pueblo County, Colorado",8.4,22.7,20.3,25.0,25.5
08123,"Weld County, Colorado",8.7,37.2,37.0,33.3,31.3
09110,"Capitol Planning Region, Connecticut",18.8,45.7,45.3,41.1,37.1
09120,"Greater Bridgeport Planning Region, Connecticut",16.1,45.1,48.5,40.7,32.6
09130,"Lower Connecticut River Valley Planning Region, Connecticut",13.5,51.4,47.4,47.4,41.3
09140,"Naugatuck Valley Planning Region, Connecticut",20.8,35.9,37.7,29.6,26.0
09150,"Northeastern Connecticut Planning Region, Connecticut",14.2,26.6,28.1,25.9,22.2
09160,"Northwest Hills Planning Region, Connecticut",10.1,40.9,45.6,38.9,41.3
09170,"South Central Connecticut Planning Region, Connecticut",18.6,51.4,43.9,39.7,33.1
09180,"Southeastern Connecticut Planning Region, Connecticut",19.6,41.2,38.8,33.2,35.3
09190,"Western Connecticut Planning Region, Connecticut",26.3,61.2,57.7,56.4,49.1
10001,"Kent County, Delaware",5.0,27.7,33.5,23.3,20.3
10003,"New Castle County, Delaware",12.8,45.7,43.9,38.7,35.0
10005,"Sussex County, Delaware",8.6,33.3,36.3,32.2,40.7
11001,"District of Columbia, District of Columbia",31.7,78.3,73.6,55.7,48.4
12001,"Alachua County, Florida",20.5,54.6,51.3,48.4,41.1
12005,"Bay County, Florida",7.8,25.8,32.8,28.5,26.7
12009,"Brevard County, Florida",11.4,38.7,42.1,36.7,31.3
12011,"Broward County, Florida",13.6,41.8,42.7,36.1,31.1
12015,"Charlotte County, Florida",5.6,21.7,25.8,26.4,29.7
12017,"Citrus County, Florida",6.8,22.9,14.7,16.9,21.5
12019,"Clay County, Florida",11.0,26.9,26.7,28.4,26.6
12021,"Collier County, Florida",10.0,35.3,31.8,38.3,47.5
12023,"Columbia County, Florida",2.0,7.2,13.2,25.1,21.0
12031,"Duval County, Florida",12.6,42.5,33.1,31.6,30.2
12033,"Escambia County, Florida",13.6,35.1,34.5,29.1,26.5
12035,"Flagler County, Florida",5.8,22.8,29.3,34.8,32.5
12053,"Hernando County, Florida",8.1,22.8,30.8,20.0,18.1
12055,"Highlands County, Florida",6.7,18.0,16.6,20.6,17.8
12057,"Hillsborough County, Florida",11.9,43.5,42.1,35.4,32.7
