GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed
01003,"Baldwin County, Alabama",92652,8.8
01015,"Calhoun County, Alabama",54705,15.4
01043,"Cullman County, Alabama",38252,7.5
01049,"DeKalb County, Alabama",29447,8.1
01051,"Elmore County, Alabama",40171,6.2
01055,"Etowah County, Alabama",44011,11.7
01069,"Houston County, Alabama",47974,7.6
01073,"Jefferson County, Alabama",317154,9.3
01077,"Lauderdale County, Alabama",42851,10.8
01081,"Lee County, Alabama",74494,6.8
01083,"Limestone County, Alabama",42278,8.5
01089,"Madison County, Alabama",179120,8.8
01095,"Marshall County, Alabama",41452,9.7
01097,"Mobile County, Alabama",187886,11.7
01101,"Montgomery County, Alabama",108937,9.6
01103,"Morgan County, Alabama",59396,13.5
01115,"St. Clair County, Alabama",40807,10.0
01117,"Shelby County, Alabama",106570,5.7
01121,"Talladega County, Alabama",35989,13.7
01125,"Tuscaloosa County, Alabama",94274,7.4
01127,"Walker County, Alabama",28060,12.0
02020,"Anchorage Municipality, Alaska",171146,6.5
02090,"Fairbanks North Star Borough, Alaska",56369,7.1
02170,"Matanuska-Susitna Borough, Alaska",45500,10.4
04001,"Apache County, Arizona",23596,17.4
04003,"Cochise County, Arizona",54287,10.5
04005,"Coconino County, Arizona",71504,8.2
04013,"Maricopa County, Arizona",1939830,8.6
04015,"Mohave County, Arizona",74717,15.4
04017,"Navajo County, Arizona",40609,21.5
04019,"Pima County, Arizona",471836,10.4
04021,"Pinal County, Arizona",158232,12.4
04025,"Yavapai County, Arizona",91867,10.9
04027,"Yuma County, Arizona",83932,14.5
05007,"Benton County, Arkansas",111886,4.7
05031,"Craighead County, Arkansas",50585,6.1
05045,"Faulkner County, Arkansas",63795,6.9
05051,"Garland County, Arkansas",44933,9.6
05069,"Jefferson County, Arkansas",31261,9.2
05085,"Lonoke County, Arkansas",35034,9.0
05119,"Pulaski County, Arkansas",192899,8.9
05125,"Saline County, Arkansas",56616,5.0
05131,"Sebastian County, Arkansas",59341,5.3
05143,"Washington County, Arkansas",106927,7.8
05145,"White County, Arkansas",34769,6.1
06001,"Alameda County, California",833177,10.1
06007,"Butte County, California",101652,15.0
06013,"Contra Costa County, California",548414,9.0
06017,"El Dorado County, California",93142,11.7
06019,"Fresno County, California",427238,15.7
06023,"Humboldt County, California",65597,9.9
06025,"Imperial County, California",70731,19.5
06029,"Kern County, California",373481,14.0
06031,"Kings County, California",64390,16.5
06033,"Lake County, California",29237,18.6
06037,"Los Angeles County, California",5099118,11.6
06039,"Madera County, California",58763,9.8
06041,"Marin County, California",137946,7.0
06045,"Mendocino County, California",41453,11.4
06047,"Merced County, California",116054,17.2
06053,"Monterey County, California",205582,9.2
06055,"Napa County, California",74595,9.6
06057,"Nevada County, California",47463,10.0
06059,"Orange County, California",1627624,9.0
06061,"Placer County, California",178143,10.9
06065,"Riverside County, California",1039812,14.7
06067,"Sacramento County, California",717880,14.2
06071,"San Bernardino County, California",938548,13.7
06073,"San Diego County, California",1642502,9.6
06075,"San Francisco County, California",495601,7.7
06077,"San Joaquin County, California",321356,16.0
06079,"San Luis Obispo County, California",139166,6.9
06081,"San Mateo County, California",411225,7.8
06083,"Santa Barbara County, California",213429,9.2
06085,"Santa Clara County, California",968305,8.7
06087,"Santa Cruz County, California",146140,8.1
06089,"Shasta County, California",79362,11.8
06095,"Solano County, California",214867,13.6
06097,"Sonoma County, California",258400,9.5
06099,"Stanislaus County, California",244370,17.2
06101,"Sutter County, California",43905,12.9
06107,"Tulare County, California",197111,13.6
06111,"Ventura County, California",440095,10.1
06113,"Yolo County, California",103289,10.9
06115,"Yuba County, California",32680,17.6
08001,"Adams County, Colorado",242617,8.5
08005,"Arapahoe County, Colorado",328747,8.4
08013,"Boulder County, Colorado",175927,6.5
08031,"Denver County, Colorado",360606,7.2
08035,"Douglas County, Colorado",161302,5.3
08041,"El Paso County, Colorado",340699,9.4
08059,"Jefferson County, Colorado",309356,7.2
08069,"Larimer County, Colorado",175353,7.7
08077,"Mesa County, Colorado",75753,9.0
08101,"Pueblo County, Colorado",74199,11.2
08123,"Weld County, Colorado",135751,7.3
09001,"Fairfield County, Connecticut",504554,9.5
