GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Percent Unemployed
01003,"Baldwin County, Alabama",92198,7.4
01015,"Calhoun County, Alabama",52740,15.8
01043,"Cullman County, Alabama",34818,7.1
01049,"DeKalb County, Alabama",30260,7.2
01051,"Elmore County, Alabama",35757,9.7
01055,"Etowah County, Alabama",44541,10.2
01069,"Houston County, Alabama",48507,8.5
01073,"Jefferson County, Alabama",321646,8.6
01077,"Lauderdale County, Alabama",43841,6.8
01081,"Lee County, Alabama",75527,5.6
01083,"Limestone County, Alabama",41995,7.2
01089,"Madison County, Alabama",181007,9.0
01095,"Marshall County, Alabama",42516,9.4
01097,"Mobile County, Alabama",190917,11.7
01101,"Montgomery County, Alabama",109040,7.3
01103,"Morgan County, Alabama",55337,9.7
01115,"St. Clair County, Alabama",N,N
01117,"Shelby County, Alabama",104325,4.8
01121,"Talladega County, Alabama",35333,12.5
01125,"Tuscaloosa County, Alabama",95425,7.8
01127,"Walker County, Alabama",26497,13.1
02020,"Anchorage Municipality, Alaska",172479,6.6
02090,"Fairbanks North Star Borough, Alaska",57717,10.3
02170,"Matanuska-Susitna Borough, Alaska",45601,10.2
04001,"Apache County, Arizona",20783,17.5
04003,"Cochise County, Arizona",51982,8.7
04005,"Coconino County, Arizona",70577,8.3
04013,"Maricopa County, Arizona",1940493,7.6
04015,"Mohave County, Arizona",77985,14.5
04017,"Navajo County, Arizona",40858,19.4
04019,"Pima County, Arizona",476720,10.7
04021,"Pinal County, Arizona",151307,8.9
04025,"Yavapai County, Arizona",94875,10.9
04027,"Yuma County, Arizona",86851,13.0
05007,"Benton County, Arkansas",114615,4.2
05031,"Craighead County, Arkansas",47722,6.4
05045,"Faulkner County, Arkansas",61959,5.4
05051,"Garland County, Arkansas",42980,11.9
05069,"Jefferson County, Arkansas",31452,8.9
05085,"Lonoke County, Arkansas",36832,8.2
05119,"Pulaski County, Arkansas",197155,7.9
05125,"Saline County, Arkansas",57213,4.7
05131,"Sebastian County, Arkansas",56351,6.3
05143,"Washington County, Arkansas",108586,6.0
05145,"White County, Arkansas",34835,7.3
06001,"Alameda County, California",843694,8.9
06007,"Butte County, California",100695,9.3
06013,"Contra Costa County, California",560105,8.7
06017,"El Dorado County, California",88104,13.9
06019,"Fresno County, California",426672,12.8
06023,"Humboldt County, California",65284,13.1
06025,"Imperial County, California",71372,15.5
06029,"Kern County, California",369873,12.3
06031,"Kings County, California",64192,13.1
06033,"Lake County, California",24313,14.1
06037,"Los Angeles County, California",5145151,10.2
06039,"Madera County, California",56823,8.6
06041,"Marin County, California",136791,6.5
06045,"Mendocino County, California",40314,11.3
06047,"Merced County, California",113464,19.9
06053,"Monterey County, California",193795,8.3
06055,"Napa County, California",75868,8.1
06057,"Nevada County, California",42933,8.5
06059,"Orange County, California",1638455,7.8
06061,"Placer County, California",180910,7.9
06065,"Riverside County, California",1060020,12.9
06067,"Sacramento County, California",706134,12.3
06071,"San Bernardino County, California",948219,12.1
06073,"San Diego County, California",1648154,9.0
06075,"San Francisco County, California",517997,7.3
06077,"San Joaquin County, California",321032,13.4
06079,"San Luis Obispo County, California",138290,5.8
06081,"San Mateo County, California",416841,6.8
06083,"Santa Barbara County, California",225172,7.9
06085,"Santa Clara County, California",991785,8.2
06087,"Santa Cruz County, California",141392,8.6
06089,"Shasta County, California",74479,10.4
06095,"Solano County, California",212844,11.5
06097,"Sonoma County, California",261064,8.4
06099,"Stanislaus County, California",250369,15.9
06101,"Sutter County, California",42955,12.5
06107,"Tulare County, California",191461,13.0
06111,"Ventura County, California",440560,7.7
06113,"Yolo County, California",100433,9.1
06115,"Yuba County, California",31443,18.5
08001,"Adams County, Colorado",247144,7.6
08005,"Arapahoe County, Colorado",335638,8.2
08013,"Boulder County, Colorado",178727,6.1
08031,"Denver County, Colorado",370165,5.9
08035,"Douglas County, Colorado",160896,4.5
08041,"El Paso County, Colorado",345955,8.8
08059,"Jefferson County, Colorado",308536,6.2
08069,"Larimer County, Colorado",173917,5.8
08077,"Mesa County, Colorado",72573,7.7
08101,"Pueblo County, Colorado",70824,10.2
08123,"Weld County, Colorado",139273,8.9
09001,"Fairfield County, Connecticut",512260,9.5
09003,"Hartford County, Connecticut",484228,10.2
09005,"Litchfield County, Connecticut",107561,7.3
09007,"Middlesex County, Connecticut",90770,6.3
09009,"New Haven County, Connecticut",457843,9.0
09011,"New London County, Connecticut",155298,8.6
09013,"Tolland County, Connecticut",86340,7.4
09015,"Windham County, Connecticut",65536,13.0
10001,"Kent County, Delaware",85778,8.6
10003,"New Castle County, Delaware",292328,8.2
10005,"Sussex County, Delaware",95280,9.8
11001,"District of Columbia, District of Columbia",375082,10.4
12001,"Alachua County, Florida",124386,7.7
12005,"Bay County, Florida",85897,7.4
12009,"Brevard County, Florida",258735,11.7
12011,"Broward County, Florida",974272,10.3
12015,"Charlotte County, Florida",60090,11.7
12017,"Citrus County, Florida",48893,11.2
12019,"Clay County, Florida",100389,9.9
12021,"Collier County, Florida",152306,8.7
12023,"Columbia County, Florida",30949,12.9
12031,"Duval County, Florida",462943,10.4
12033,"Escambia County, Florida",152769,10.5
12035,"Flagler County, Florida",37803,6.4
12053,"Hernando County, Florida",68381,13.9
12055,"Highlands County, Florida",35208,14.4
12057,"Hillsborough County, Florida",669587,8.7
12061,"Indian River County, Florida",61256,10.1
12069,"Lake County, Florida",133682,9.4
12071,"Lee County, Florida",293242,10.0
12073,"Leon County, Florida",157471,11.2
12081,"Manatee County, Florida",150303,8.5
12083,"Marion County, Florida",130848,11.1
12085,"Martin County, Florida",66532,8.9
12086,"Miami-Dade County, Florida",1323296,9.9
12087,"Monroe County, Florida",38638,7.9
12089,"Nassau County, Florida",35782,7.5
12091,"Okaloosa County, Florida",97219,6.8
12095,"Orange County, Florida",658684,8.7
12097,"Osceola County, Florida",137735,7.3
12099,"Palm Beach County, Florida",685582,9.6
12101,"Pasco County, Florida",207474,8.5
12103,"Pinellas County, Florida",464593,8.7
12105,"Polk County, Florida",274165,9.9
12107,"Putnam County, Florida",27005,10.0
12109,"St. Johns County, Florida",98865,6.8
12111,"St. Lucie County, Florida",127689,12.0
12113,"Santa Rosa County, Florida",75785,9.9
12115,"Sarasota County, Florida",162796,8.8
12117,"Seminole County, Florida",235715,10.3
12119,"Sumter County, Florida",22935,9.7
12127,"Volusia County, Florida",218175,9.5
13013,"Barrow County, Georgia",37060,13.7
13015,"Bartow County, Georgia",48931,10.1
13021,"Bibb County, Georgia",67791,16.4
13031,"Bulloch County, Georgia",34787,14.1
13045,"Carroll County, Georgia",51908,11.5
13047,"Catoosa County, Georgia",33221,8.6
13051,"Chatham County, Georgia",140637,11.1
13057,"Cherokee County, Georgia",112017,7.2
