GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",99593,5.2
01015,"Calhoun County, Alabama",52485,6.5
01043,"Cullman County, Alabama",37513,7.2
01049,"DeKalb County, Alabama",29993,4.1
01051,"Elmore County, Alabama",38204,6.3
01055,"Etowah County, Alabama",41354,6.0
01069,"Houston County, Alabama",48593,5.4
01073,"Jefferson County, Alabama",322283,6.6
01077,"Lauderdale County, Alabama",42954,5.2
01081,"Lee County, Alabama",77563,4.6
01083,"Limestone County, Alabama",43462,4.5
01089,"Madison County, Alabama",186245,4.8
01095,"Marshall County, Alabama",39984,5.0
01097,"Mobile County, Alabama",183193,4.9
01101,"Montgomery County, Alabama",106221,5.4
01103,"Morgan County, Alabama",53637,4.7
01115,"St. Clair County, Alabama",N,N
01117,"Shelby County, Alabama",112128,4.1
01121,"Talladega County, Alabama",32697,3.2
01125,"Tuscaloosa County, Alabama",98287,6.1
01127,"Walker County, Alabama",27414,8.5
02020,"Anchorage Municipality, Alaska",166017,5.8
02090,"Fairbanks North Star Borough, Alaska",52586,6.3
02170,"Matanuska-Susitna Borough, Alaska",48920,9.0
04001,"Apache County, Arizona",21731,10.0
04003,"Cochise County, Arizona",52966,6.8
04005,"Coconino County, Arizona",73169,9.2
04013,"Maricopa County, Arizona",2178212,5.0
04015,"Mohave County, Arizona",80051,7.6
04017,"Navajo County, Arizona",41934,9.1
04019,"Pima County, Arizona",481149,7.3
04021,"Pinal County, Arizona",161853,6.5
04025,"Yavapai County, Arizona",92965,6.0
04027,"Yuma County, Arizona",88276,6.0
05007,"Benton County, Arkansas",134881,2.9
05031,"Craighead County, Arkansas",55267,4.6
05045,"Faulkner County, Arkansas",61727,2.9
05051,"Garland County, Arkansas",41213,6.9
05069,"Jefferson County, Arkansas",28353,12.2
05085,"Lonoke County, Arkansas",35380,5.7
05119,"Pulaski County, Arkansas",198491,5.1
05125,"Saline County, Arkansas",59899,4.5
05131,"Sebastian County, Arkansas",61951,5.9
05143,"Washington County, Arkansas",120174,6.5
05145,"White County, Arkansas",35041,6.9
06001,"Alameda County, California",914925,4.7
06007,"Butte County, California",106233,7.2
06013,"Contra Costa County, California",590684,5.2
06017,"El Dorado County, California",86574,3.9
06019,"Fresno County, California",449054,8.2
06023,"Humboldt County, California",65074,6.3
06025,"Imperial County, California",69555,13.5
06029,"Kern County, California",378872,9.4
06031,"Kings County, California",64156,6.7
06033,"Lake County, California",27019,7.2
06037,"Los Angeles County, California",5294013,6.0
06039,"Madera County, California",64638,8.6
06041,"Marin County, California",133623,4.3
06045,"Mendocino County, California",43159,6.3
06047,"Merced County, California",118022,12.2
06053,"Monterey County, California",207323,5.1
06055,"Napa County, California",75786,4.4
06057,"Nevada County, California",49341,3.5
06059,"Orange County, California",1680336,4.2
06061,"Placer County, California",187608,4.0
06065,"Riverside County, California",1133406,7.8
06067,"Sacramento County, California",755782,6.6
06071,"San Bernardino County, California",992580,8.2
06073,"San Diego County, California",1785209,5.9
06075,"San Francisco County, California",555892,3.8
06077,"San Joaquin County, California",335778,6.4
06079,"San Luis Obispo County, California",138856,3.8
06081,"San Mateo County, California",434217,3.6
06083,"Santa Barbara County, California",233916,5.7
06085,"Santa Clara County, California",1055821,4.0
06087,"Santa Cruz County, California",148582,7.3
06089,"Shasta County, California",79589,4.3
06095,"Solano County, California",224824,6.7
06097,"Sonoma County, California",270021,3.8
06099,"Stanislaus County, California",257560,7.9
06101,"Sutter County, California",41973,7.0
06107,"Tulare County, California",204436,10.6
06111,"Ventura County, California",445581,5.2
06113,"Yolo County, California",109053,6.9
06115,"Yuba County, California",34859,3.3
08001,"Adams County, Colorado",270284,3.9
08005,"Arapahoe County, Colorado",366089,3.9
08013,"Boulder County, Colorado",184710,4.1
08014,"Broomfield County, Colorado",39634,3.3
08031,"Denver County, Colorado",415851,3.2
08035,"Douglas County, Colorado",186451,2.6
08041,"El Paso County, Colorado",370917,5.9
