GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",105677,2.4
01015,"Calhoun County, Alabama",54040,8.1
01043,"Cullman County, Alabama",37492,4.3
01049,"DeKalb County, Alabama",30604,3.2
01051,"Elmore County, Alabama",36475,5.3
01055,"Etowah County, Alabama",46578,5.2
01069,"Houston County, Alabama",47865,6.0
01073,"Jefferson County, Alabama",320499,6.7
01077,"Lauderdale County, Alabama",43953,2.3
01081,"Lee County, Alabama",78892,5.8
01083,"Limestone County, Alabama",43720,5.1
01089,"Madison County, Alabama",187943,5.2
01095,"Marshall County, Alabama",42486,4.4
01097,"Mobile County, Alabama",182483,5.6
01101,"Montgomery County, Alabama",105819,6.5
01103,"Morgan County, Alabama",55580,3.3
01115,"St. Clair County, Alabama",40234,3.8
01117,"Shelby County, Alabama",111015,3.2
01121,"Talladega County, Alabama",35020,8.5
01125,"Tuscaloosa County, Alabama",103355,4.1
01127,"Walker County, Alabama",27458,7.9
02020,"Anchorage Municipality, Alaska",161380,5.5
02090,"Fairbanks North Star Borough, Alaska",55363,5.6
02170,"Matanuska-Susitna Borough, Alaska",47160,8.4
04001,"Apache County, Arizona",19658,9.6
04003,"Cochise County, Arizona",50068,6.1
04005,"Coconino County, Arizona",71813,5.8
04013,"Maricopa County, Arizona",2246965,4.6
04015,"Mohave County, Arizona",80596,9.9
04017,"Navajo County, Arizona",37593,14.4
04019,"Pima County, Arizona",488119,5.7
04021,"Pinal County, Arizona",175681,7.2
04025,"Yavapai County, Arizona",94724,7.3
04027,"Yuma County, Arizona",86596,7.6
05007,"Benton County, Arkansas",140523,2.7
05031,"Craighead County, Arkansas",52761,5.9
05045,"Faulkner County, Arkansas",60616,3.3
05051,"Garland County, Arkansas",42510,3.4
05069,"Jefferson County, Arkansas",26101,8.7
05085,"Lonoke County, Arkansas",34138,4.3
05119,"Pulaski County, Arkansas",198313,4.3
05125,"Saline County, Arkansas",60747,2.4
05131,"Sebastian County, Arkansas",61829,3.5
05143,"Washington County, Arkansas",119530,3.5
05145,"White County, Arkansas",33429,5.4
06001,"Alameda County, California",920908,4.0
06007,"Butte County, California",109346,7.3
06013,"Contra Costa County, California",606398,4.6
06017,"El Dorado County, California",93246,4.4
06019,"Fresno County, California",451694,8.1
06023,"Humboldt County, California",70940,9.4
06025,"Imperial County, California",71243,12.8
06029,"Kern County, California",384227,8.9
06031,"Kings County, California",61064,8.8
06033,"Lake County, California",27484,5.6
06037,"Los Angeles County, California",5302675,5.6
06039,"Madera County, California",66874,11.5
06041,"Marin County, California",138352,2.5
06045,"Mendocino County, California",41700,5.8
06047,"Merced County, California",124576,10.3
06053,"Monterey County, California",204225,4.4
06055,"Napa County, California",73044,5.5
06057,"Nevada County, California",46295,3.4
06059,"Orange County, California",1684199,4.1
06061,"Placer County, California",188065,4.0
06065,"Riverside County, California",1148831,6.5
