GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed,median housing price
1003,"Baldwin County, Alabama","190,790","93,581","97,209","11,010","22,639","22,547","28,378","13,354","12,680",41.5,"8,737","158,634","16,398",915,"1,494","105,267",48378,77978,29033,21622,57538,50660,22537,50131,59041,40863,57055,27224,1184.0,3.7,19.3,30.8,32.3,29.4,92652,8.8,165700
1073,"Jefferson County, Alabama","660,009","311,696","348,313","45,760","94,164","83,698","89,887","45,756","39,796",37.1,"25,914","336,989","279,073","1,197","10,345","302,009",43959,258192,31660,36552,36260,60494,18268,50428,51680,33189,58415,28077,1116.0,9.2,36.4,38.2,27.5,23.8,317154,9.3,142000
1081,"Lee County, Alabama","147,257","72,191","75,066","23,207","20,050","18,342","16,734","5,864","9,149",29.8,"5,338","101,408","33,401",479,"4,008","64,408",45043,55520,28571,40375,42202,53972,12329,54732,62220,43175,64216,21746,650.0,13.1,39.3,41.3,28.5,22.4,74494,6.8,155400
1083,"Limestone County, Alabama","87,654","43,754","43,900","4,845","12,157","13,093","13,199","5,205","5,049",39.0,"5,040","68,240","10,907",591,"1,087","35,255",47999,32106,37267,76031,32583,49505,48708,45270,62477,31974,61881,19843,88.0,5.2,27.2,19.1,21.9,16.9,42278,8.5,137700
1089,"Madison County, Alabama","343,080","168,763","174,317","25,422","45,340","43,641","54,776","23,126","17,733",37.9,"16,081","225,686","82,415","2,583","7,601","150,499",56839,135450,34085,64238,38706,66614,22688,58704,70518,44665,73191,31736,1839.0,9.3,42.0,46.7,41.6,32.9,179120,8.8,164600
1101,"Montgomery County, Alabama","230,149","109,089","121,060","18,415","32,996","29,470","30,000","15,111","11,722",34.8,"8,044","85,999","127,067",101,"5,170","102,611",41807,90244,32851,78723,38036,59385,11928,43166,49190,37115,53374,26937,517.0,9.2,31.6,35.5,29.1,28.0,108937,9.6,119900
1117,"Shelby County, Alabama","200,941","98,121","102,820","11,315","25,337","30,240","30,244","13,418","11,341",37.6,"11,975","159,110","22,456",512,"4,458","81,979",65728,75058,54167,87391,37219,67073,25750,70493,77527,46073,77645,38416,604.0,10.7,45.1,40.0,42.2,28.9,106570,5.7,184800
1125,"Tuscaloosa County, Alabama","198,596","96,270","102,326","22,712","26,714","23,717","22,839","11,815","10,279",31.7,"6,351","127,405","60,302",240,"2,952","86,097",41139,67721,31574,82328,23092,49856,14128,46270,51691,35695,52744,21624,496.0,10.2,35.8,28.5,30.4,21.1,94274,7.4,156800
2020,"Anchorage Municipality, Alaska","298,610","151,752","146,858","25,862","48,250","41,089","40,501","19,702","16,319",33.0,"24,593","182,044","17,309","18,835","27,303","113,639",72575,105569,41653,52397,48854,83359,38085,70975,89153,50998,86790,47205,497.0,4.9,27.6,37.5,36.2,30.0,171146,6.5,281800
2090,"Fairbanks North Star Borough, Alaska","100,272","53,011","47,261","10,754","17,753","12,401","12,839","6,413","4,937",30.9,"6,789","72,708","4,854","6,005","2,429","41,694",66539,35944,55081,82699,68728,71293,48202,61361,74086,47594,81336,40749,46.0,12.0,25.9,40.4,30.2,31.3,56369,7.1,214500
4003,"Cochise County, Arizona","132,088","67,821","64,267","8,157","17,488","13,466","17,006","8,105","8,572",40.1,"43,718","75,946","5,777",838,"1,922","59,901",43252,49983,63710,46219,30399,47603,21845,48878,51843,32193,51182,27681,278.0,4.4,15.6,23.1,26.5,25.8,54287,10.5,140700
4013,"Maricopa County, Arizona","3,942,169","1,950,229","1,991,940","285,305","557,141","532,404","513,078","224,583","201,984",35.3,"1,181,994","2,277,011","196,477","60,387","142,459","1,654,659",51432,1424393,36867,68471,38162,58638,25510,53430,62186,40615,61551,35184,10189.0,8.3,29.1,32.8,30.7,27.8,1939830,8.6,161600
4019,"Pima County, Arizona","992,394","488,848","503,546","77,628","130,009","115,758","126,465","63,055","63,571",38.0,"351,799","538,133","33,801","23,087","24,850","444,349",44762,386104,36593,41800,33643,51546,17198,46408,54228,39726,56046,28020,2175.0,6.6,26.0,30.8,29.7,34.0,471836,10.4,153500
4021,"Pinal County, Arizona","387,365","203,470","183,895","20,791","53,606","52,664","45,057","22,303","23,899",37.4,"112,145","224,675","16,725","21,787","6,505","162,424",50515,126874,56750,83072,43267,52642,36250,56929,52067,42408,55969,32762,1742.0,3.2,12.6,23.0,19.7,22.8,158232,12.4,110100
4027,"Yuma County, Arizona","200,022","101,245","98,777","17,280","25,244","22,341","22,483","9,995","9,002",33.6,"121,053","68,595","3,119","1,696","2,475","88,972",39485,70895,29427,54306,33735,48289,21255,44424,47276,33163,41190,25086,554.0,3.4,20.6,15.3,11.9,11.5,83932,14.5,109200
5007,"Benton County, Arkansas","232,268","114,536","117,732","13,624","33,508","32,646","30,216","12,654","11,665",34.9,"36,846","175,558","2,764","3,080","7,381","94,688",52294,84026,65140,86875,43358,52421,36547,57343,57470,40776,60850,30892,1259.0,11.5,29.1,35.5,28.3,25.4,111886,4.7,143400
5031,"Craighead County, Arkansas","99,735","48,756","50,979","9,090","14,856","12,188","13,093","5,299","5,582",33.6,"4,563","78,665","13,844",191,"1,337","41,809",44111,38421,23153,43647,23226,47246,14627,45924,51808,45334,54846,23523,450.0,12.6,23.3,26.5,27.5,15.7,50585,6.1,123500
