GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
1069,"Houston County, Alabama","104,173","49,975","54,198","6,107","13,774","12,901","13,965","7,456","6,320",40.1,"3,523","70,029","27,418",309,801,"46,706",43553,38870,27921,33424,43494,50696,22909,45079,50259,37058,52454,26907,288.0,131000,5.8,20.8,25.5,21.9,17.4,47561,7.8
1073,"Jefferson County, Alabama","660,367","312,183","348,184","43,196","95,958","83,841","85,384","46,823","40,964",37.3,"25,040","333,633","280,720","1,179","10,861","306,683",48492,264781,32375,58563,43615,64294,21799,50535,59496,36906,63321,30154,1348.0,155000,11.8,38.4,34.4,29.9,25.4,332242,7.8
1081,"Lee County, Alabama","156,993","76,952","80,041","21,823","20,248","19,698","18,113","10,441","6,946",31.6,"6,045","105,704","36,539",231,"5,714","66,385",46589,58191,27705,51224,30358,53968,14336,49718,69249,41429,63485,20747,826.0,169000,9.5,35.9,41.1,32.1,28.7,77927,5.4
1089,"Madison County, Alabama","353,089","172,607","180,482","24,926","47,675","43,554","53,007","25,652","20,668",38.5,"16,915","229,734","84,890","1,595","8,881","156,857",58636,140959,37236,83410,28220,67464,16869,56421,72042,48829,76469,35092,2010.0,177700,10.2,39.5,44.5,42.5,38.0,177390,7.2
1097,"Mobile County, Alabama","415,395","197,405","217,990","28,736","57,361","49,708","54,226","26,018","28,967",37.5,"11,512","238,827","144,931","3,332","8,444","182,024",42699,152938,29596,41534,37700,54513,19297,47162,50758,37437,56732,24260,648.0,120500,11.0,28.0,27.9,20.8,20.6,187759,6.6
1101,"Montgomery County, Alabama","226,519","107,826","118,693","17,628","32,913","28,793","27,967","14,618","13,723",35.7,"7,714","81,258","127,698",273,"4,889","104,005",42477,90103,32787,55250,46471,61192,17064,38247,60914,39277,52943,30054,508.0,122100,9.2,24.1,35.0,35.6,29.0,110471,8.2
1127,"Walker County, Alabama","65,294","31,024","34,270","3,717","7,442","7,887","8,834","3,949","5,090",42.1,"1,575","58,213","3,948",63,305,"30,654",35056,24452,25216,29051,30330,35988,16413,31324,49389,29003,49092,19777,13.0,90500,5.2,16.5,12.6,7.4,6.0,25674,11.6
2020,"Anchorage Municipality, Alaska","298,695","152,945","145,750","27,999","52,834","37,364","36,397","20,032","15,927",32.2,"27,261","175,448","17,373","19,090","28,285","114,911",78662,104936,52261,68456,63151,89805,41536,78594,98267,67599,94419,53809,648.0,302500,8.4,34.0,36.2,35.8,37.3,169764,6.4
2090,"Fairbanks North Star Borough, Alaska","99,631","54,872","44,759","12,206","16,841","12,084","11,737","4,664","6,317",30.5,"7,996","70,299","4,133","5,263","2,821","41,627",72975,35475,52055,47885,50061,77181,35047,71227,92593,60135,88211,46935,7.0,229300,4.7,37.6,27.9,35.2,35.9,58302,7.9
4013,"Maricopa County, Arizona","4,167,947","2,059,938","2,108,009","284,969","594,791","548,668","537,317","247,837","220,865",36.1,"1,269,890","2,350,280","216,064","69,397","162,955","1,693,687",56004,1480327,40343,75377,41528,62303,28813,58452,68173,44369,66305,37133,14534.0,228300,8.3,29.5,32.2,31.0,29.8,2054110,5.6
