GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,B25075_026E,B25075_026M,B25075_027E,B25075_027M,Unnamed: 56,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more",,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0100000US,United States,77708394,235977,1018091,13542,561871,12432,480004,10818,519620,11799,465467,11618,581079,12322,413843,9243,1097775,16811,1363891,16708,1543283,19444,1795096,20917,2136763,20941,1782319,21094,4894443,39097,4682490,32225,6024955,40157,4524274,36958,8364113,47771,7132031,41787,9977191,54873,5875445,32402,6809450,32748,2754017,21683,1564209,19228,570499,9814,776175,11874,,229700,366
0500000US01003,"Baldwin County, Alabama",63010,3045,1210,604,258,195,213,189,398,444,249,286,746,568,215,192,209,178,1063,483,447,283,1097,521,2312,1030,1536,639,4856,1397,4340,975,7845,1436,5992,1288,8179,1562,4807,1075,8185,1564,3203,940,3861,1023,956,432,583,312,250,200,0,201,,193800,7437
0500000US01015,"Calhoun County, Alabama",31036,1883,615,275,765,427,388,225,336,254,370,232,429,282,277,211,1566,699,1054,477,1907,619,805,382,1875,650,1571,756,4076,979,3100,851,3271,894,1501,697,2599,887,1963,748,1397,601,478,353,527,450,95,168,71,117,0,201,0,201,,121800,8839
0500000US01043,"Cullman County, Alabama",22760,1481,297,230,413,273,276,178,464,407,271,194,1021,590,204,219,479,386,1004,395,981,498,1077,483,1305,548,905,390,2467,725,1976,685,2432,626,1208,498,1783,765,1347,550,1341,524,895,517,199,174,206,181,9,15,121,215,79,133,,127700,13062
0500000US01049,"DeKalb County, Alabama",19171,1366,293,256,769,551,848,476,581,448,1024,646,239,228,171,138,335,300,953,530,520,328,750,412,946,444,1046,512,2307,803,964,532,2261,754,563,303,1481,677,729,301,1529,468,300,269,212,177,291,215,59,99,0,201,0,201,,112000,11395
0500000US01051,"Elmore County, Alabama",22169,1472,577,404,332,314,41,71,185,182,0,201,55,92,240,242,725,657,420,348,466,303,1064,616,611,416,803,428,1690,596,2210,702,2557,814,1104,432,2692,833,2902,895,2078,748,953,460,264,197,37,63,92,120,71,85,0,201,,166300,10622
0500000US01055,"Etowah County, Alabama",27383,1637,506,237,255,268,228,220,564,384,352,288,817,459,74,85,1289,513,2605,706,1222,545,889,425,1141,475,1035,440,2441,776,2428,997,2790,795,2168,768,2435,811,1622,554,1624,750,168,160,295,298,234,367,152,206,0,201,49,80,,127800,13254
0500000US01069,"Houston County, Alabama",26166,910,449,146,210,113,288,141,156,73,190,90,342,137,218,123,729,361,1494,438,1024,288,1200,253,1253,352,1764,499,2938,540,2673,363,2531,317,1564,311,2422,455,1874,478,1621,360,394,132,361,130,216,128,203,158,10,16,42,36,,132700,6233
0500000US01073,"Jefferson County, Alabama",161306,3860,1075,532,1323,548,1003,459,1326,450,2024,772,1678,718,1083,418,5815,1450,4307,1009,6477,1210,8179,1640,6764,1529,5910,1302,14611,2169,10434,1534,12756,1701,8389,1330,17732,2395,14762,1711,13936,1986,7643,1190,8343,1163,3402,920,1376,565,520,335,438,230,,166900,5871
0500000US01077,"Lauderdale County, Alabama",25516,1628,85,98,102,115,219,190,29,38,288,246,282,178,144,179,999,550,779,389,313,211,659,332,851,400,880,432,2773,790,3290,858,3435,796,2035,886,2325,697,2163,601,1861,639,910,476,662,356,344,307,88,146,0,201,0,201,,157800,9079
0500000US01081,"Lee County, Alabama",36498,2153,1557,838,677,500,219,226,687,466,278,331,191,274,66,114,1434,815,563,524,813,642,618,516,939,439,1180,642,2403,870,2755,1104,2714,847,3774,1096,4312,980,3990,1290,3416,1028,1734,763,1605,577,573,441,0,201,0,201,0,201,,182700,9943
0500000US01083,"Limestone County, Alabama",25568,1509,208,205,459,432,182,193,231,216,378,271,340,244,177,234,341,245,375,255,814,495,1018,500,1028,602,809,476,3043,846,1436,494,3286,963,1364,487,2570,853,2938,992,2906,979,1137,615,469,285,59,89,0,201,0,201,0,201,,164800,9041
0500000US01089,"Madison County, Alabama",99434,2951,1377,835,449,311,283,246,543,460,351,204,641,379,228,203,1044,477,1647,653,2377,715,2469,831,3041,882,2713,780,7306,1215,7372,1682,11501,1407,9104,1543,15379,2449,11305,1582,9591,1543,5574,1289,3628,1028,847,398,458,247,120,123,86,109,,192500,6885
0500000US01095,"Marshall County, Alabama",25544,1293,429,278,105,108,135,123,346,292,562,392,332,283,74,73,299,225,1652,840,1038,513,1095,570,1317,496,973,423,3334,867,2418,688,2611,730,1328,583,2371,684,2242,827,1722,515,419,242,362,253,217,205,157,162,0,201,6,11,,136200,13471
0500000US01097,"Mobile County, Alabama",95186,3060,1934,876,657,392,736,457,1216,545,1033,593,1332,450,1297,571,3208,773,3854,946,4640,1226,3698,800,5409,1097,4335,956,11375,1859,10675,1575,10322,1782,4819,1005,8556,1324,6875,1199,5031,1179,2148,779,1047,479,564,271,146,135,214,142,65,86,,131700,5138
0500000US01101,"Montgomery County, Alabama",49547,2379,725,347,520,308,475,338,311,233,405,337,257,215,384,213,1657,587,2681,677,3055,1044,2250,700,2267,763,2803,777,4870,1196,5368,1354,3769,848,2228,652,4847,1043,3102,739,3643,791,1626,576,1594,485,462,243,96,90,101,165,51,90,,134800,7930
0500000US01103,"Morgan County, Alabama",32658,1547,376,287,434,388,748,627,548,359,309,281,474,497,167,144,622,338,531,252,1262,645,2152,699,2188,888,1794,743,2937,901,3041,836,4128,993,1199,586,3028,810,1561,473,2902,770,1266,558,893,524,98,90,0,201,0,201,0,201,,139700,10952
0500000US01115,"St. Clair County, Alabama",23638,1990,130,141,360,324,48,69,122,123,67,107,528,499,346,435,523,443,1248,723,519,379,433,338,741,481,921,479,1307,630,2635,933,2146,828,2428,883,3825,1120,1583,581,1645,783,596,491,942,632,444,446,101,119,0,201,0,201,,172000,12318
0500000US01117,"Shelby County, Alabama",65547,2083,905,481,821,527,139,112,452,282,180,187,175,131,250,394,314,222,231,253,455,277,952,485,626,379,295,176,5002,1022,4926,988,7468,1333,5615,976,11059,1725,6049,1205,10501,1254,4618,848,2877,642,1117,359,209,190,100,102,211,184,,217900,5290
0500000US01121,"Talladega County, Alabama",21408,1641,1217,547,399,391,103,129,357,253,194,162,662,391,283,379,630,321,1826,605,1117,566,869,465,485,328,1402,605,1841,893,1580,634,1549,636,1469,657,1414,661,1688,593,1271,437,424,325,491,305,69,115,35,62,0,201,33,61,,115800,16034
0500000US01125,"Tuscaloosa County, Alabama",46221,2297,1246,640,389,292,831,549,238,240,710,391,262,188,376,415,457,277,1533,722,248,231,477,351,1906,862,1302,611,2661,766,4243,1092,6539,1285,4430,879,6171,1245,3755,1178,4300,988,1539,564,1840,609,550,365,124,127,94,122,0,201,,173800,8303
0500000US01127,"Walker County, Alabama",18736,1190,878,414,809,468,711,353,285,256,455,330,381,313,99,119,836,396,1047,412,844,427,646,368,630,317,1283,573,1177,493,2109,702,1882,643,856,356,963,536,1244,599,916,539,480,440,159,130,46,82,0,201,0,201,0,201,,109900,20434
0500000US02020,"Anchorage Municipality, Alaska",67637,2522,304,297,376,307,609,386,328,258,582,499,424,327,216,270,326,442,271,289,99,163,457,429,551,372,306,244,1362,661,1796,570,1805,676,2222,853,8190,1386,9448,1484,19504,2145,9008,1349,6975,1374,1578,550,472,428,39,63,389,251,,321300,7905
0500000US02090,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259500,12658
0500000US02170,"Matanuska-Susitna Borough, Alaska",25124,1018,95,88,65,76,88,83,165,144,34,41,112,111,70,91,56,95,259,142,270,236,87,87,217,122,244,150,1040,311,680,262,1897,417,1982,459,5041,723,4456,736,4882,615,1766,430,1324,429,232,162,37,43,0,157,25,33,,251800,8537
0500000US04001,"Apache County, Arizona",17910,1076,1700,504,1501,327,1033,338,1524,436,146,122,2002,564,0,211,545,179,2148,516,1438,328,310,179,257,149,112,87,1199,379,672,344,937,433,938,686,699,366,396,245,105,128,126,146,74,69,48,51,0,211,0,211,0,211,,52300,3784
0500000US04003,"Cochise County, Arizona",35702,1669,240,187,250,221,279,247,469,298,250,215,515,387,112,121,910,568,1061,464,929,408,1514,544,1705,569,1656,519,4995,1288,4304,1144,3021,843,2554,869,4730,1161,2657,883,1686,469,824,458,768,535,126,134,53,88,29,50,65,109,,142200,9060
0500000US04005,"Coconino County, Arizona",29699,1928,348,216,611,266,272,151,490,248,163,137,890,609,10,17,609,362,742,268,770,315,211,117,733,381,300,389,1353,626,254,205,1209,494,965,414,2008,695,3322,885,5086,1139,3946,926,3972,934,1094,434,207,176,80,129,54,93,,293800,17432
0500000US04013,"Maricopa County, Arizona",990183,9565,14438,2006,6728,1198,6331,1120,6135,1367,4142,1016,2765,740,1933,681,3581,863,5186,959,4879,869,5590,1139,6782,1356,8735,1321,27992,2223,30034,2506,65562,4324,61352,3938,156256,6269,143123,5817,192368,5971,98716,4617,85409,3796,26320,2268,14851,1705,4589,805,6386,1104,,276800,2262
0500000US04015,"Mohave County, Arizona",63654,3087,800,575,1193,563,152,199,944,618,605,271,408,285,1238,776,2578,988,1924,662,1804,678,2523,1082,2000,890,996,465,5165,1139,3557,907,4147,1068,3135,986,9392,1565,7749,1362,7280,1446,3663,1005,1804,714,435,246,53,71,0,211,109,151,,189300,16120
0500000US04017,"Navajo County, Arizona",24255,1721,1303,438,380,288,584,292,740,248,412,249,318,140,88,132,725,265,1469,420,836,293,1009,331,771,299,1034,392,2503,817,947,353,1920,501,1633,610,2644,782,1715,566,2066,733,614,268,248,158,74,99,59,86,38,70,125,155,,124600,19324
0500000US04019,"Pima County, Arizona",250634,5571,6311,1309,2406,697,2054,702,2393,865,1200,443,1375,512,1385,530,3213,990,2369,948,4831,1086,4995,1255,4193,742,4684,1083,16693,1740,18966,2087,27034,2679,22981,2297,36624,2800,26657,2454,28092,1921,13712,1728,12244,1355,4140,776,1240,461,461,406,381,229,,198100,3811
0500000US04021,"Pinal County, Arizona",115511,3609,2918,951,1073,328,1086,493,1560,686,1196,451,764,416,1297,474,2973,986,2169,683,1931,738,1703,768,1876,686,1609,636,5527,1579,6654,1480,13264,1898,10078,1622,23651,2699,13291,1671,12790,1990,4249,1110,2539,802,444,319,408,446,136,118,325,306,,200200,6040
0500000US04025,"Yavapai County, Arizona",73901,2742,1040,483,788,415,346,317,317,450,313,232,1614,855,444,539,987,559,736,389,502,384,817,746,395,348,925,565,3289,1210,2661,1025,4130,1002,3705,963,11609,1992,10006,1603,13325,1821,5614,1110,7314,1200,1805,596,679,359,349,311,191,210,,261700,10760
0500000US04027,"Yuma County, Arizona",48950,2300,1950,755,914,519,802,406,578,287,936,421,1026,428,170,128,465,198,1335,647,1510,555,1301,504,2030,665,1490,556,6293,990,5889,1307,5863,1274,2430,872,5944,1235,3674,824,3092,837,719,436,261,181,146,165,70,80,0,211,62,113,,140600,6487
0500000US05007,"Benton County, Arkansas",67295,2688,167,158,195,192,264,343,125,165,184,153,251,178,161,203,823,538,1261,695,685,490,1501,562,1851,594,1334,586,6388,1357,8302,1347,6295,1123,4448,891,8817,1325,7196,1380,8640,1291,3188,811,2871,847,1583,789,379,241,131,151,255,335,,196700,10431
0500000US05031,"Craighead County, Arkansas",23960,1561,319,257,185,226,26,45,0,201,438,434,141,154,227,295,674,394,278,226,586,375,1976,847,1307,623,1330,710,2378,810,2138,677,2944,967,1838,618,3048,1084,1139,508,1573,738,758,490,100,128,453,226,64,106,0,201,40,74,,149700,13987
0500000US05045,"Faulkner County, Arkansas",28635,1635,536,303,202,236,299,205,56,59,157,141,400,399,69,83,343,243,451,366,571,496,1297,592,1234,618,793,366,3273,886,3201,877,3627,938,3585,1213,2812,966,2505,751,1818,588,503,376,401,257,69,72,404,584,29,50,0,201,,159900,8271
0500000US05051,"Garland County, Arkansas",26815,1543,359,328,516,354,366,271,289,269,510,360,463,505,242,190,829,630,371,258,1762,661,918,469,1330,781,1020,577,2387,922,2089,759,2620,988,2129,828,2208,736,1179,512,2241,793,1042,517,921,528,463,343,387,467,73,124,101,168,,149500,14713
0500000US05069,"Jefferson County, Arkansas",15201,1364,260,174,235,174,36,64,303,196,257,193,569,450,401,294,1114,448,1424,509,1094,558,1382,544,1270,557,539,318,1641,567,1441,651,488,310,843,453,702,296,800,380,0,201,158,188,125,150,0,201,67,104,52,90,0,201,,84100,6833
0500000US05085,"Lonoke County, Arkansas",19308,1267,46,66,201,210,314,299,268,234,160,174,170,196,75,65,274,275,491,289,838,456,1145,497,691,484,585,337,3291,922,3037,834,2385,777,1494,632,2067,585,723,393,736,375,158,188,159,137,0,201,0,201,0,201,0,201,,134100,9011
0500000US05119,"Pulaski County, Arkansas",92535,3007,1740,583,648,418,259,264,390,261,324,352,682,460,942,519,967,485,2124,755,3763,944,4469,1326,3593,972,3356,939,7359,1023,9368,1442,10685,1522,6051,1005,10177,1611,6685,1157,9850,1680,3644,1022,2684,908,1530,622,853,446,70,117,322,288,,164700,4243
0500000US05125,"Saline County, Arkansas",35943,1846,963,607,298,287,269,247,208,175,62,106,334,275,240,231,1349,721,194,159,578,327,805,463,1190,512,732,353,4080,989,5395,1292,4263,951,3608,961,3347,912,3770,972,2455,763,952,479,528,301,86,107,237,335,0,201,0,201,,157500,8333
