GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,Unnamed: 52,B25077_001M,B25077_001E
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",,Margin of Error!!Median value (dollars),Estimate!!Median value (dollars)
0100000US,United States,74873372,216091,1048918,15006,756419,13731,679896,13107,678048,13709,613570,12987,734025,14538,517469,10837,1410871,17590,1711458,22237,1971432,22035,2357938,23900,2793708,27929,2535156,26050,6395681,43204,5597338,35580,6726744,45166,4647865,35627,7948462,44256,6001587,41544,7756303,45366,4163942,29610,4626486,27883,1641595,17969,1558461,16254,,292,179900
0500000US01003,"Baldwin County, Alabama",48864,2663,1431,675,699,496,722,590,1239,742,468,286,825,458,67,108,965,480,405,236,983,490,1477,598,768,411,1667,688,3313,933,3920,989,5279,1233,4595,1043,5655,1045,4378,1144,4017,920,2594,701,2368,728,512,329,517,300,,9484,176100
0500000US01015,"Calhoun County, Alabama",30941,1595,1707,722,653,352,1048,507,404,393,1182,621,1235,433,383,338,964,362,1282,466,1522,663,2105,643,1297,659,1314,577,3723,958,3601,783,2396,655,1486,592,1622,627,1717,668,814,389,167,172,158,181,78,166,83,137,,8268,102500
0500000US01043,"Cullman County, Alabama",22316,1615,608,371,616,353,588,456,302,220,340,285,421,287,915,501,1576,755,879,428,1065,465,2473,896,1957,784,1206,552,1483,564,1634,583,1761,622,1567,518,1011,313,759,405,709,340,50,86,218,187,121,149,57,85,,6443,87000
0500000US01049,"DeKalb County, Alabama",20516,1443,374,294,577,401,541,392,616,364,300,283,555,462,486,391,584,345,2350,826,1759,703,1279,465,1272,495,723,504,2307,772,1837,670,1450,574,296,209,1272,688,685,375,640,335,0,273,258,403,243,221,112,131,,9306,86600
0500000US01051,"Elmore County, Alabama",22505,1706,331,226,684,419,319,188,429,331,559,373,175,165,55,63,462,387,799,515,968,494,1014,467,895,492,500,279,1193,400,3255,808,2121,768,1973,707,2447,735,2052,627,1206,552,447,289,117,128,355,277,149,148,,9054,147000
0500000US01055,"Etowah County, Alabama",29389,1369,510,303,597,481,706,447,555,275,983,465,1203,642,973,460,1528,489,1347,577,2029,669,2268,652,1865,613,770,315,3747,873,2880,874,2624,563,694,321,1727,628,1032,531,682,328,185,148,256,208,83,103,145,156,,12646,91700
0500000US01069,"Houston County, Alabama",25760,1022,664,364,240,175,499,186,242,94,662,243,588,360,446,226,511,219,1117,314,1251,325,1329,353,1403,256,1560,372,2347,285,2301,412,3074,679,1737,419,2293,497,1256,312,1242,434,369,158,410,196,142,82,77,50,,8711,125300
0500000US01073,"Jefferson County, Alabama",166240,3976,1603,547,1193,447,1705,634,1724,634,1995,693,1756,698,1870,778,5411,1085,6716,1137,6792,1253,9817,1399,9090,1711,7615,1344,15916,1555,15033,1772,14424,1540,11008,1455,15150,1823,11412,1528,11893,1636,3942,789,5078,989,2873,838,2224,637,,3691,141500
