GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,Unnamed: 52,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0100000US,United States,73843861,212871,2056072,20863,733354,11392,643009,12210,674789,12332,608975,11727,742067,13571,558091,10261,1444505,16901,1782825,22758,2073416,23687,2431577,23958,2798150,24383,2442390,23981,6204432,40304,5480178,32795,6528385,44429,4523063,33581,7453176,43038,5775220,36263,7376257,41141,3986146,27594,4359759,26947,1610000,15855,1558025,17313,,173900,224
0500000US01003,"Baldwin County, Alabama",48841,2480,1694,659,223,175,321,413,236,234,442,327,610,502,384,403,729,531,1053,566,993,436,817,378,1277,621,1431,657,4497,1178,4456,972,7493,1506,3509,1000,5958,1345,3436,961,4918,1201,1692,759,926,384,1119,537,627,392,,167500,6333
0500000US01015,"Calhoun County, Alabama",29414,1902,1828,573,651,342,518,374,575,367,105,132,698,374,856,441,1226,459,1721,606,1478,590,2093,786,2600,824,1239,556,3089,794,2206,637,2429,796,1460,604,1494,558,1603,623,800,459,467,405,123,115,57,94,98,166,,92900,9443
0500000US01043,"Cullman County, Alabama",24380,1557,445,235,383,261,500,298,855,541,98,104,606,325,133,135,1031,420,1222,412,516,292,1845,636,1871,724,1179,434,2158,729,1847,566,2284,683,1734,813,1790,680,1401,579,1064,410,816,419,378,276,148,167,76,128,,117400,14834
0500000US01049,"DeKalb County, Alabama",16331,1441,602,320,242,210,548,340,262,192,219,302,217,156,431,332,695,363,1180,665,690,362,827,456,914,368,841,462,1826,652,1036,528,1402,487,977,538,1506,743,820,385,822,347,50,83,155,176,57,72,12,23,,106800,12366
0500000US01051,"Elmore County, Alabama",19811,1624,829,454,493,266,551,347,198,164,347,320,302,448,39,65,503,350,680,373,579,336,322,191,951,454,693,441,2133,626,1888,714,1585,557,1695,619,2058,601,1561,570,1914,525,234,158,48,65,67,82,141,175,,142000,13510
0500000US01055,"Etowah County, Alabama",28911,1687,722,417,235,170,263,230,877,429,537,283,1045,521,739,468,1650,608,1709,453,1878,490,1153,371,1963,724,1451,464,3062,678,2819,752,2572,687,1500,499,1729,587,1101,445,1301,512,370,264,119,122,0,192,116,146,,101900,8497
0500000US01069,"Houston County, Alabama",25484,825,737,177,371,128,728,251,271,145,131,88,487,185,392,158,752,220,1074,265,1303,308,1586,395,1486,357,1320,286,2649,373,2961,527,2284,321,1979,459,1802,309,1131,234,1104,307,457,208,305,173,54,35,120,65,,119900,6963
0500000US01073,"Jefferson County, Alabama",160389,4411,4473,1134,1401,501,1823,584,1700,651,1063,427,1842,620,1738,602,4000,736,5075,1014,7658,1502,8723,1392,8469,1454,7791,1611,13894,1755,14377,2062,15679,1992,9699,1747,14534,1758,10247,1510,10773,1869,6506,1180,4906,1140,2164,606,1854,560,,143300,4786
0500000US01077,"Lauderdale County, Alabama",26459,1537,990,393,352,273,245,274,294,261,336,204,381,297,173,274,1063,475,789,487,770,308,1530,628,1439,626,1480,552,4548,908,2204,627,2262,656,1184,425,1584,548,2513,706,1217,635,420,338,575,372,67,83,43,75,,118600,6407
0500000US01081,"Lee County, Alabama",32878,1839,1712,727,155,176,870,577,106,136,687,366,305,206,219,219,1077,646,568,415,1225,666,1177,612,560,358,1670,806,4045,1179,3933,960,3287,923,2048,685,2909,783,1918,594,1709,641,1461,526,929,507,184,149,124,151,,138100,9585
0500000US01083,"Limestone County, Alabama",25147,1521,1062,503,629,405,272,254,79,97,322,240,234,256,0,192,1013,537,400,277,676,505,1603,835,793,417,1094,578,3178,878,2635,686,2472,833,1544,559,2560,668,1895,689,1792,668,294,260,36,55,350,324,214,245,,136600,10675
0500000US01089,"Madison County, Alabama",90701,3013,2268,762,1411,768,487,300,272,250,444,321,198,160,169,130,1382,484,2504,777,2714,851,2627,893,4476,969,3471,1091,9864,1364,8439,1599,9423,1451,6861,1480,9977,1578,8504,1630,8121,1254,2847,767,2670,773,621,334,951,470,,162300,5422
0500000US01095,"Marshall County, Alabama",24523,1561,752,357,432,329,300,379,203,171,244,188,445,295,362,247,765,383,1014,523,1293,625,1495,475,1731,619,1178,470,2987,819,2297,607,2588,842,1245,465,2110,616,694,303,1346,574,336,229,356,272,7,13,343,242,,117100,9115
0500000US01097,"Mobile County, Alabama",98085,3630,2796,731,1350,509,1382,646,1247,549,1281,485,1029,408,973,450,3370,672,4147,1178,3652,957,3941,865,7072,1306,5974,1036,12792,2011,11870,1517,11706,1500,3875,990,7645,1593,3729,929,4355,839,1504,485,1276,542,707,363,412,211,,121200,4669
0500000US01101,"Montgomery County, Alabama",52126,2348,1155,492,836,445,270,216,807,424,625,379,457,288,457,307,1288,453,2463,739,2621,771,2914,790,2561,736,2750,773,9034,1377,4352,908,4821,1010,2907,822,4299,866,1823,419,2089,593,1477,508,1319,532,207,155,594,330,,119000,3478
0500000US01103,"Morgan County, Alabama",33269,1876,1203,528,627,348,775,622,318,249,391,325,297,234,521,382,483,302,1717,677,1346,526,1489,651,2694,928,1553,526,3418,884,2950,724,3867,1064,1624,577,3911,806,1668,631,1134,404,886,439,135,117,0,192,262,239,,123600,9976
0500000US01115,"St. Clair County, Alabama",26999,1634,1512,755,489,446,467,395,646,624,736,581,655,526,557,529,517,353,744,420,780,504,995,626,1293,711,889,460,2724,793,2895,1002,2452,904,1628,669,3245,958,1742,693,1502,633,345,265,0,192,186,243,0,192,,129300,11836
0500000US01117,"Shelby County, Alabama",58235,2203,1551,505,642,373,396,312,369,227,255,195,401,294,572,472,352,270,1129,465,452,299,741,306,750,281,1010,487,5751,1170,5506,895,5819,1157,4840,1007,8065,1313,5124,987,8531,1155,2161,593,2871,636,471,291,476,271,,192700,8004
0500000US01121,"Talladega County, Alabama",23726,1323,792,431,1073,454,247,310,1034,544,191,221,1737,560,532,385,1392,614,600,268,1506,586,840,349,1385,586,1424,611,2046,771,1775,646,1409,514,1248,596,1973,572,1036,461,704,388,622,420,0,192,112,134,48,81,,93800,8666
0500000US01125,"Tuscaloosa County, Alabama",42796,2406,1604,643,870,402,791,461,1584,646,422,338,639,332,318,259,717,511,684,346,705,416,1371,593,1585,603,481,346,4313,920,4794,1100,6197,1160,3293,753,3832,895,3413,951,3081,884,885,428,879,300,181,200,157,158,,152100,6985
0500000US01127,"Walker County, Alabama",18378,1347,1122,411,870,484,648,331,555,340,389,280,740,489,293,181,1112,531,1109,405,1052,449,918,436,1608,621,873,391,1139,482,1110,445,1712,496,625,252,1156,568,727,450,357,232,96,119,167,149,0,192,0,192,,82400,6213
0500000US02020,"Anchorage Municipality, Alaska",61373,2310,531,348,81,124,149,164,180,177,693,370,269,231,343,445,96,114,290,325,469,499,43,72,100,124,394,284,1050,493,1602,550,1736,801,2660,769,8737,1537,12381,1750,16839,1912,6294,1221,4485,800,1524,521,427,296,,295500,8152
0500000US02090,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218200,21623
0500000US02170,"Matanuska-Susitna Borough, Alaska",22964,980,322,225,93,74,124,98,148,146,83,98,161,120,103,103,196,124,261,130,165,130,382,176,337,169,211,140,908,299,766,287,2242,455,2750,426,5386,708,3795,591,2691,462,1174,362,582,259,44,72,40,47,,220700,6275
0500000US04001,"Apache County, Arizona",13677,940,998,317,549,187,315,133,339,154,667,210,565,197,377,220,467,215,495,171,308,164,491,183,801,347,1194,337,1463,454,206,155,2032,698,264,251,601,288,521,297,336,267,164,160,213,191,23,28,288,167,,93900,5283
0500000US04003,"Cochise County, Arizona",34059,1968,881,373,111,118,580,352,407,343,363,282,531,332,318,221,789,435,739,347,1301,478,1597,682,1084,464,1072,468,4284,720,2968,701,3386,830,2703,762,4293,878,3333,969,1985,781,676,409,323,281,204,186,131,133,,150000,10055
0500000US04005,"Coconino County, Arizona",27914,1614,1411,601,502,231,509,310,706,560,212,168,193,151,80,85,536,226,780,415,535,231,632,330,1095,393,292,206,1470,554,1307,647,2201,592,1173,391,3335,894,3320,767,3023,557,1569,489,1991,596,645,411,397,388,,204800,18237
0500000US04013,"Maricopa County, Arizona",859362,9013,27615,2219,7917,1076,8567,1286,5652,1088,4171,636,4705,924,4133,930,11016,1631,14012,1761,15617,1748,21000,1813,26540,2322,23490,2435,72547,4177,68576,4186,89468,3720,61340,3288,104085,4692,78016,3676,96979,4326,44595,3025,40537,2953,14145,1585,14639,1672,,185000,2331
0500000US04015,"Mohave County, Arizona",54283,2523,1998,757,778,415,900,470,1814,728,876,538,2620,963,824,391,1357,526,2028,858,2899,837,2156,713,2976,701,1133,496,5013,1109,5326,1181,4032,1164,3127,856,4648,1088,3047,701,3091,960,1832,627,1369,556,152,132,287,230,,123900,8466
0500000US04017,"Navajo County, Arizona",23649,1364,2668,661,816,312,673,390,128,120,620,307,205,159,108,114,789,364,861,367,1201,381,1130,472,948,312,1980,562,1257,551,1256,460,1425,571,1891,542,1503,497,953,456,2120,531,478,369,639,263,0,203,0,203,,98500,7928
0500000US04019,"Pima County, Arizona",237045,4001,9790,1505,2956,784,2744,739,1970,646,2230,765,1801,584,1720,692,4072,1026,5720,1224,6766,1027,8254,1009,9275,1460,11093,1635,23866,2691,20952,2388,25019,2172,16616,1698,25143,2345,15845,1441,18862,1714,9150,1359,8694,1245,2585,617,1922,663,,155300,3484
0500000US04021,"Pinal County, Arizona",88799,3644,3085,808,3166,1033,908,473,1253,490,1171,599,675,346,870,514,2394,941,2598,691,2212,805,2509,670,5080,1083,3140,892,10937,1679,10873,1632,10358,1567,5384,1145,7848,1485,4293,1135,5133,1011,2145,615,2054,730,337,291,376,243,,135100,4338
0500000US04025,"Yavapai County, Arizona",60360,3005,2243,801,549,339,304,263,298,252,58,100,237,183,951,522,1061,520,1097,590,1505,539,2699,871,1672,758,2182,820,4883,1121,4622,1168,6188,1248,4044,1198,5593,1261,5849,1189,6220,1123,3203,921,3069,921,919,402,914,345,,173500,8460
