GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",56439,82325,40790,39100,N,N,62329,24893,64972,61741,49032,76892,37494
01015,"Calhoun County, Alabama",48156,44636,33935,-,-,N,55072,16171,61110,50202,37040,61918,26143
01043,"Cullman County, Alabama",50906,32090,N,-,N,N,51224,41773,61643,57912,32419,60886,22464
01049,"DeKalb County, Alabama",44208,24880,-,N,-,26147,47865,22140,50911,51423,32713,54871,21213
01051,"Elmore County, Alabama",61854,30712,38482,-,N,N,70250,23267,61480,76172,51400,76574,34964
01055,"Etowah County, Alabama",41447,40053,26974,-,N,47426,44789,28805,47021,48998,31734,53690,23712
01069,"Houston County, Alabama",50103,39761,28995,-,N,34017,59011,23545,48989,57556,43649,62034,30245
01073,"Jefferson County, Alabama",53944,264753,38791,15511,70570,33613,71236,28083,56603,61887,46612,70617,31870
01077,"Lauderdale County, Alabama",46632,38761,35082,-,-,77106,50799,11373,47980,67311,39051,65564,26571
01081,"Lee County, Alabama",53712,64448,40402,-,40175,42270,59336,11475,63232,66402,54939,80982,22163
01083,"Limestone County, Alabama",63695,32020,53037,N,-,21320,68520,35313,69352,85955,43473,76124,31572
01089,"Madison County, Alabama",67930,155878,40205,100651,111004,38199,78606,21909,71263,89733,54787,84935,39603
01095,"Marshall County, Alabama",49467,35330,60446,-,N,55152,47289,31719,56040,55207,41142,58967,23902
01097,"Mobile County, Alabama",49639,155946,35429,42267,58705,N,59537,19054,52492,56939,41236,61182,29216
01101,"Montgomery County, Alabama",53117,88864,45085,N,94239,80056,71156,31938,53711,56264,49769,67719,38068
01103,"Morgan County, Alabama",54338,46470,34516,-,-,54312,57884,34038,62952,62287,46228,62540,31104
01115,"St. Clair County, Alabama",67487,32829,35048,-,46084,-,72218,61814,71706,72566,51088,77256,36071
01117,"Shelby County, Alabama",75614,84048,61999,103711,56546,63929,79181,45374,80688,98417,52422,98094,39682
01121,"Talladega County, Alabama",50147,30602,39042,-,30049,N,54575,25724,52892,72541,31137,65280,22057
01125,"Tuscaloosa County, Alabama",52243,74259,32759,-,54126,73305,63657,21642,57261,68115,42219,70367,30796
01127,"Walker County, Alabama",46283,25153,26297,-,-,18677,50516,28244,57748,60870,37962,59855,23677
02020,"Anchorage Municipality, Alaska",82716,105198,68379,45976,87478,73255,93129,27935,83705,101875,67567,104660,54962
02090,"Fairbanks North Star Borough, Alaska",72065,35556,102920,N,81335,61118,75072,39578,67137,100918,61640,87974,41417
02170,"Matanuska-Susitna Borough, Alaska",74709,32736,N,50670,N,68659,77631,42492,83015,80206,59040,85283,41628
04001,"Apache County, Arizona",30480,20925,"2,500-",23759,-,N,54879,40875,25378,35429,27575,41162,18720
04003,"Cochise County, Arizona",48484,51982,N,-,34953,43014,52329,38836,51655,61455,42435,57991,37769
04005,"Coconino County, Arizona",58085,48993,43803,43154,N,61344,73225,23395,64453,74094,49500,76601,34758
04013,"Maricopa County, Arizona",68649,1611722,53989,54553,92697,56249,75830,42345,72119,82135,54750,80792,45056
04015,"Mohave County, Arizona",50179,91095,54032,32413,97901,49860,50760,55895,55803,59167,45332,56751,30917
04017,"Navajo County, Arizona",38897,38732,31397,31205,-,28369,48604,24541,36749,41583,40334,45764,23328
04019,"Pima County, Arizona",56169,410404,41122,43807,56257,47876,61907,32076,58550,69956,49417,72920,35875
04021,"Pinal County, Arizona",62057,153413,51818,50049,57134,63040,62997,48270,76121,64842,50517,70976,39644
04025,"Yavapai County, Arizona",53816,102784,44180,45581,67792,58206,54252,50309,65169,63776,47530,68513,34253
