"GEO_ID","NAME","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_001E","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003M","S1903_C01_003E","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005M","S1903_C02_005E","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C01_007M","S1903_C01_007E","S1903_C01_008M","S1903_C01_008E","S1903_C02_008E","S1903_C02_008M","S1903_C01_009M","S1903_C01_009E","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012M","S1903_C02_012E","S1903_C01_013M","S1903_C01_013E","S1903_C02_013E","S1903_C02_013M","S1903_C01_014M","S1903_C01_014E","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015M","S1903_C02_015E","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017M","S1903_C01_017E","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018M","S1903_C02_018E","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020M","S1903_C01_020E","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022M","S1903_C02_022E","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024M","S1903_C02_024E","S1903_C01_025M","S1903_C01_025E","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026M","S1903_C02_026E","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028M","S1903_C01_028E","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030M","S1903_C02_030E","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US01003","Baldwin County, Alabama","3456","47502","2902","68096","89.4","1.4","50159","2712","1.1","8.2","23191","2122","N","N","N","N","N","N","N","N","N","N","-","**","22470","18575","N","N","N","N","N","N","N","N","33142","11977","87.2","1.4","50561","2627","2.6","1.0","4595","35801","2.2","29.8","47377","5779","2.2","41.1","52175","4528","26.4","1.8","5179","40450","48021","3137","56784","3000","N","N","55271","7354","N","N","5438","58613","N","N","62924","3551","N","N","25394","4795","N","N","40879","8479","20075","2075","3734","25565","59.7","5.8","22966","3375","55.6","5.9","3629","21714","2.0","4.1","45394","17536","40.3","5.8","6602","33448","34.8","6.1","27232","9224","2.7","5.5","69599","33694","30.3","(X)","(X)","(X)","31.3","(X)","(X)","(X)","26.9","(X)","(X)","(X)",
"0500000US01015","Calhoun County, Alabama","1776","36675","3304","45862","78.6","2.4","40237","3191","2.4","18.1","19918","6683","N","N","N","N","N","N","N","N","N","N","-","**","N","N","N","N","N","N","N","N","N","N","38621","31609","78.1","2.4","40270","3171","5.0","1.4","9637","15963","2.7","30.3","41078","6625","2.6","40.0","39670","6599","24.6","1.7","4416","32684","30555","1764","49953","5860","N","N","43410","15392","N","N","4309","50933","N","N","61073","6327","N","N","25797","7327","N","N","28411","23158","15307","1794","2793","18489","58.6","6.3","15802","3095","50.3","6.2","4126","15985","4.1","8.2","15477","8717","41.4","6.3","7507","23125","34.9","6.3","20417","8513","3.0","6.5","56528","39077","35.5","(X)","(X)","(X)","34.7","(X)","(X)","(X)","35.2","(X)","(X)","(X)",
"0500000US01043","Cullman County, Alabama","1543","35786","4997","29666","97.8","1.1","36373","4978","N","N","12359","9071","N","N","N","N","N","N","**","-","N","N","-","**","36000","6407","N","N","N","N","-","**","N","N","27342","11762","95.9","1.2","36677","4934","3.7","1.6","11206","17097","2.9","28.1","41111","2267","3.3","40.2","39084","5838","28.0","2.8","6433","26212","21119","1597","42297","2763","N","N","40927","2037","N","N","2949","43772","N","N","50265","7605","N","N","21585","5635","N","N","31172","4875","8547","1345","2794","19220","51.1","6.3","19365","4446","44.2","6.4","5243","18639","3.8","6.9","30136","13494","48.9","6.3","3540","19109","45.9","6.5","18166","3923","2.0","3.0","22083","4756","24.0","(X)","(X)","(X)","24.0","(X)","(X)","(X)","24.0","(X)","(X)","(X)",
"0500000US01049","DeKalb County, Alabama","1362","35967","4647","25738","94.6","2.0","35655","4804","N","N","29096","10071","N","N","28591","24345","N","N","**","-","N","N","-","**","113582","747","N","N","N","N","43298","15123","N","N","32100","26000","89.3","2.1","36353","4313","2.8","1.7","37566","34521","3.3","33.6","39672","5980","2.5","39.0","46000","8824","24.7","2.3","1717","24094","19977","1547","40398","4849","N","N","40342","5974","N","N","8591","40524","N","N","50056","5359","N","N","19721","8470","N","N","32208","15395","5761","1035","5824","18451","60.9","9.4","14218","1745","53.8","9.6","3960","14608","5.6","7.0","11760","1067","39.1","9.4","4830","31363","31.6","8.0","29630","4185","6.8","7.5","43284","20102","29.7","(X)","(X)","(X)","27.0","(X)","(X)","(X)","34.2","(X)","(X)","(X)",
"0500000US01051","Elmore County, Alabama","1646","52222","3938","28860","82.0","2.7","58051","6258","2.8","15.2","28694","5600","N","N","31729","13066","N","N","487","81159","N","N","-","**","51703","5155","N","N","N","N","N","N","N","N","33733","16310","80.5","2.7","59034","6047","4.6","1.9","5480","33326","3.3","34.3","59801","11292","2.7","40.6","60600","7551","20.5","2.3","12898","32485","21881","2034","64118","6228","N","N","63377","10539","N","N","8837","65394","N","N","74625","5958","N","N","30731","3828","N","N","39276","15470","6979","1253","4621","27110","48.8","8.5","24756","5682","45.0","8.3","4955","23714","3.4","3.7","37716","16182","51.2","8.5","7202","30113","42.5","9.1","26822","6079","6.6","8.8","55625","55373","25.4","(X)","(X)","(X)","26.8","(X)","(X)","(X)","19.6","(X)","(X)","(X)",
"0500000US01055","Etowah County, Alabama","1516","35897","2125","39731","84.8","1.6","36846","2512","1.5","13.5","24282","3784","N","N","34923","31578","N","N","**","-","N","N","-","**","-","**","N","N","N","N","26409","14218","N","N","41539","14768","83.8","1.5","36573","2438","3.1","1.4","8435","22978","2.4","27.1","38774","3760","2.3","42.4","39301","4088","27.3","2.1","3005","29051","27285","1734","39636","2869","3.7","36.6","38672","4284","63.4","3.7","3317","40258","70.5","4.0","45757","4617","3.8","23.3","24243","4363","6.2","2.6","41437","6005","12446","1307","2499","19785","60.4","6.0","17780","3389","58.1","6.1","3156","17888","1.9","2.4","14247","30711","39.6","6.0","6358","22250","36.2","6.4","21240","3019","3.0","3.3","105279","82309","28.9","(X)","(X)","(X)","27.5","(X)","(X)","(X)","31.9","(X)","(X)","(X)",
"0500000US01069","Houston County, Alabama","1029","38579","2509","40206","72.7","1.2","46252","3543","1.0","24.7","22959","3227","N","N","41000","36432","N","N","5279","36465","N","N","-","**","N","N","N","N","N","N","N","N","N","N","37713","14595","71.7","1.2","46566","3483","3.8","1.0","9213","24840","1.3","33.4","38143","4621","1.4","38.9","50831","4513","23.8","1.1","3299","28386","27423","1147","49661","3241","2.2","43.0","40573","5489","57.0","2.2","4376","57675","70.9","3.0","61879","1858","2.8","23.8","23213","3966","5.3","1.2","34861","11714","12783","1127","1825","21971","55.5","4.8","17766","2998","49.8","4.6","2190","16752","2.7","5.6","25313","9743","44.5","4.8","4816","26129","39.0","4.5","23420","4494","2.1","5.5","60668","20748","30.6","(X)","(X)","(X)","32.3","(X)","(X)","(X)","26.1","(X)","(X)","(X)",
"0500000US01073","Jefferson County, Alabama","3375","41583","1131","257219","56.4","1.0","52874","3599","0.9","40.7","30478","1074","N","N","38638","34915","1.2","0.2","20298","57913","N","N","-","**","30264","13001","N","N","N","N","N","N","0.4","2.5","26884","7717","55.0","0.9","54921","3600","4.8","0.7","3918","24939","0.9","34.1","44886","2464","1.0","39.2","50935","2367","21.9","0.7","1843","30586","165087","4695","51458","1455","1.6","42.2","48459","5095","57.8","1.6","2968","52664","63.3","1.7","71849","3512","1.5","29.7","28998","2481","7.0","1.0","36697","6344","92132","4329","1871","27106","56.9","1.8","23935","1843","49.1","2.1","1233","21479","1.2","7.8","48478","5037","43.1","1.8","2497","31701","35.0","2.0","30112","3388","1.6","8.1","46717","10225","28.1","(X)","(X)","(X)","29.6","(X)","(X)","(X)","24.9","(X)","(X)","(X)",
"0500000US01077","Lauderdale County, Alabama","1590","38661","3423","38644","88.5","2.0","40707","2392","1.6","8.3","26642","14143","N","N","N","N","N","N","29132","45743","N","N","-","**","N","N","N","N","N","N","21587","16045","N","N","73730","58142","87.7","2.2","40557","2337","6.8","2.6","6544","13661","2.5","29.5","42335","8040","2.4","36.9","47216","8949","26.9","2.2","4194","33017","25056","1474","51263","3151","N","N","51489","5024","N","N","9305","50586","N","N","65039","6426","N","N","25480","2903","N","N","29034","7404","13588","1430","2649","18974","53.5","5.9","19583","3765","45.8","6.2","3808","18148","4.7","7.7","35080","23869","46.5","5.9","5633","18234","42.4","6.2","16821","5546","2.3","4.1","37234","3662","29.7","(X)","(X)","(X)","30.3","(X)","(X)","(X)","28.6","(X)","(X)","(X)",
