GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","239,294","115,696","123,598","10,753","28,436","27,503","30,037","18,112","17,688",43.9,"11,586","196,641","21,016",463,"1,956",0,"128,533"
01015,"Calhoun County, Alabama","115,972","55,581","60,391","7,780","13,113","15,097","13,683","7,571","8,260",40.2,"4,915","81,469","22,090","1,050",983,0,"53,211"
01043,"Cullman County, Alabama","89,496","44,331","45,165","5,456","10,923","10,861","11,615","7,073","5,015",40.5,"4,186","81,515","1,098",426,509,33,"39,465"
01049,"DeKalb County, Alabama","71,813","35,952","35,861","4,018","8,448","7,993","10,175","4,612","5,052",40.2,"11,340","56,481","1,160",227,71,10,"30,774"
01051,"Elmore County, Alabama","89,304","44,004","45,300","5,023","12,328","11,368","12,394","6,317","5,169",40.0,"2,784",N,N,N,N,N,"37,081"
01055,"Etowah County, Alabama","103,162","49,734","53,428","5,711","12,190","12,327","13,480","7,339","6,961",41.5,"4,779","78,755","14,722",123,357,0,"47,420"
01069,"Houston County, Alabama","107,458","51,800","55,658","6,044","13,498","13,767","13,292","5,874","8,372",40.5,"3,917","69,091","29,188",50,"1,116",44,"49,737"
01073,"Jefferson County, Alabama","667,820","317,276","350,544","41,600","94,972","86,484","79,506","41,501","43,157",38.3,"28,530","322,188","285,835",547,"11,694",334,"309,206"
01077,"Lauderdale County, Alabama","94,043","45,167","48,876","8,307","11,620","10,139","11,198","6,209","6,666",40.0,"2,913","78,736","6,679",916,212,59,"44,721"
01081,"Lee County, Alabama","177,218","87,082","90,136","20,459","25,674","21,282","20,432","11,054","9,148",33.3,"6,974","118,947","38,262",84,"7,811",0,"77,656"
01083,"Limestone County, Alabama","107,517","53,324","54,193","5,607","13,031","16,806","14,148","6,253","8,318",40.8,"6,942","80,007","9,773",561,"2,039",400,"43,361"
01089,"Madison County, Alabama","395,211","195,279","199,932","25,885","53,272","53,150","49,367","28,860","27,147",39.6,"21,621","251,327","91,813","1,323","7,301",373,"174,149"
01095,"Marshall County, Alabama","98,228","47,339","50,889","6,186","12,254","11,515","11,497","6,630","6,343",37.8,"15,325","77,360","2,871",110,750,0,"41,502"
01097,"Mobile County, Alabama","413,073","197,854","215,219","26,705","56,044","51,449","47,999","27,883","26,548",38.8,"12,800","229,039","148,087","1,541","9,163",0,"185,315"
01101,"Montgomery County, Alabama","227,434","106,323","121,111","15,018","31,891","29,836","25,857","15,754","12,291",37.2,"8,795","69,823","134,885",118,"8,117",0,"105,705"
01103,"Morgan County, Alabama","123,668","60,541","63,127","6,688","14,471","16,267","15,243","8,169","8,680",40.8,"11,091","90,904","15,678",239,130,300,"53,545"
01115,"St. Clair County, Alabama","92,748","46,928","45,820","4,522","10,813","12,739","12,675","6,312","5,985",41.3,413,N,N,N,N,N,"38,511"
01117,"Shelby County, Alabama","226,902","109,625","117,277","13,229","26,692","31,508","31,414","13,616","15,902",40.6,"13,553","168,652","24,831","1,592","4,883",0,"90,921"
01121,"Talladega County, Alabama","81,524","38,582","42,942","4,621","10,137","10,288","10,668","3,959","7,494",42.9,"2,108",N,N,N,N,N,"38,219"
01125,"Tuscaloosa County, Alabama","227,007","109,815","117,192","23,959","32,055","28,283","25,413","11,342","14,278",34.4,"9,488","135,226","73,215",0,"3,089",0,"103,062"
02020,"Anchorage Municipality, Alaska","288,121","147,647","140,474","18,988","47,051","42,922","32,763","15,845","16,807",35.2,"27,833","158,476","14,170","18,222","26,845","8,852","119,808"
02090,"Fairbanks North Star Borough, Alaska","95,593","52,000","43,593","8,254","16,758","12,324","10,694","4,939","4,603",32.0,"7,990","64,186","3,594","5,318","3,101",339,"42,673"
02170,"Matanuska-Susitna Borough, Alaska","110,686","57,644","53,042","6,140","15,390","16,017","12,729","6,968","7,443",36.9,"6,198","83,185","1,088","6,632","2,221",512,"51,141"
04001,"Apache County, Arizona","65,623","32,022","33,601","3,845","8,590","7,248","7,301","3,479","4,764",35.9,"4,676","11,766","1,304","46,156",629,156,"28,867"
04003,"Cochise County, Arizona","126,050","63,923","62,127","7,830","15,597","13,625","13,574","7,841","8,566",43.2,"45,221","66,398","3,495",692,"1,873",0,"59,159"
04005,"Coconino County, Arizona","145,052","71,084","73,968","16,409","19,121","16,593","14,728","6,576","10,012",33.0,"21,666","75,205","2,009","35,731","2,717",121,"70,055"
04013,"Maricopa County, Arizona","4,496,588","2,234,953","2,261,635","296,777","654,569","598,246","555,232","263,720","264,277",37.3,"1,436,701","2,345,022","241,914","58,306","189,037","8,702","1,849,103"
04015,"Mohave County, Arizona","217,692","110,490","107,202","8,780","21,602","18,993","24,881","15,223","20,890",53.4,"38,531","162,217","2,722","1,744","2,439",427,"119,446"
04017,"Navajo County, Arizona","108,147","54,422","53,725","5,496","13,552","11,472","11,774","6,234","7,466",38.4,"13,103","45,038",892,"44,206",552,0,"56,796"
04019,"Pima County, Arizona","1,052,030","520,198","531,832","88,324","137,073","124,629","111,772","58,712","68,663",39.1,"404,972","517,002","34,431","19,569","28,020",214,"474,804"
04021,"Pinal County, Arizona","449,557","232,267","217,290","25,108","59,086","59,501","50,260","24,408","27,802",39.8,"141,248","242,424","20,395","15,544","7,222","1,551","179,218"
04025,"Yavapai County, Arizona","242,253","119,203","123,050","11,299","22,332","21,367","23,571","17,866","22,406",55.3,"37,179","187,601","1,321","1,391","2,341",0,"123,886"
04027,"Yuma County, Arizona","206,990","107,682","99,308","15,440","29,291","23,233","20,787","10,784","9,601",35.4,"135,493","59,055","3,010","1,867","2,449",32,"93,797"
